state,19901991,19901991 and 19911992,19901991 through 1992 1993,19901991 through 19921993,19901991 through 19931994,19901991 through 19941995,19901991 through 19951996,19901991 through 19981999,19901991 through 20042005,19901991 through 20082009,19901991 through 20092010,19901991 through 20152016,19901991 to 19971998,19901991 to 19992000,19911992,19911992 and 19921993,19911992 through 19931994,19911992 through 19961997,19911992 through 20002001,19911992 through 20032004,19921993,19921993 and 19931994,19921993 through 19941995,19921993 through 19951996,19921993 through 19992000,19921993 to 19992000,19921993 to 20012002,19931994,19931994 and 19941995,19931994 through 19951996,19931994 through 19961997,19931994 through 20122013,19941995,19941995 and 19951996,19941995 through 19981999,19941995 through 19992000,19941996 through 19992000,19951996,19951996 and 19961997,19951996 through 19971998,19951996 through 19981999,19951996 through 19992000,19961997,19961997 through 19981999,19961997 through 20032004,19971998,19971998 and 19981999,19971998 through 19992000,1998 1999 and 19992000,19981999,19981999 and 19992000,19981999 through 20032004,19981999 through 20062007,19992000,19992000 through 2001 2002,19992000 through 20012002,19992000 through 20032004,19992000 through 20042005,20002001,20002001 and 20012002,20002001 through 20022003,20002001 through 20032004,20002001 through 20042005,20012002,20012002 and 20022003,20012002 through 2003 2004,20012002 through 20032004,20022003,20022003 and 20032004,20022003 through 20042005,20022003 through 20062007,20032004,20032004 and 20042005,20032004 through 20152016,20042005,20042005 and 20052006,20042005 and 20062007,20042005 through 20062007,20042005 through 2007 2008,20042005 through 20072008,20042005 through 20092010,20042005 through 20162017,20052006,20052006 and 20062007,20052006 through 20072008,20052006 through 20092010,20052006 through 20112012,20052006 through 20132014,20062007,20062007 and 2007 2008,20062007 and 20072008,20062007 through 20092010,20062007 through 20102011,2007 2008,20072008,20072008 through 20092010,20072008 through 20102011,20072008 through 20132014,20082009,20082009 and 20092010,20082009 through 20102011,20082009 through 20122013,20082009 through 20162017,20092010,20092010 and 20102011,20092010 through 20162017,20102011,20102011 and 2011 012,20102011 and 2011 2012,20102011 and 20112012,20102011 through 20132014,20102011 through 20162017,20112012,20112012 and 20122013,20112012 through 20162017,20122013,20122013 and 20132014,20122013 through 20142015,20132014,20132014 and 20142015,20132014 through 20162017,20142015,20142015 and 20152016,20142015 through 20162017,20152016,20152016 and 20152016,20152016 and 20162017,2015201620162017,20162017
VERMONT,False,,,False,,,,,,,,,,,False,,,,,,False,,,,,,,False,,False,,,False,,,,,False,,,,,False,,False,False,,,,False,,,,False,,,,,False,,,,,False,,,,False,,,,False,,,False,False,,,,,,,False,,,,,,False,,,,,,False,,,,False,,False,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,True,,,,True
GEORGIA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,False,,,,False,,,False,,,,False,,,,False,,,,,False,False,,,,False,,,,False,,,,False,,,False,,,,,,,,True,,,,,,True,,,,,,True,,,,True,True,,,,True,,,True,,,,,,False,,,False,,,False,,False,False,,,False,,,,False
IOWA,False,,,,,,False,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,,False,,,False,,,,False,,,,False,,,False,False,,,,,,,False,,,,,,False,,False,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
KANSAS,False,False,,,,,,,,,,,,,False,,,,,,False,False,,,,,,False,,,,,False,,,,,False,,,,False,False,,,False,,,,False,,,,False,,,,,False,,,,,False,False,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
FLORIDA,False,,,,,,,,,,,,,False,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,,,False,,False,,,,False,,,,False,,,False,False,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,,False,,,,,,,,False,,,True,,,False,,,False,,,,False
VIRGINIA,True,True,,,,,,,,,,,,,True,,,,,,True,,True,,,,,True,,,,,True,,,,,False,,,,,False,,,True,,,,True,,,,True,,,,,False,False,,,,False,,,,False,False,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,,,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,False,,,
NORTH CAROLINA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,True,,,,,True,,,,,False,,,,,False,,,False,,,,False,False,,,False,,,,,True,True,,,,True,,,,False,,False,,False,,,False,,,,,,,,False,,,,,,False,,,,False,,False,,,,False,,,,,False,,,False,,,,,,False,,,False,False,,False,,,False,,,False,,False,,False
HAWAII,,,False,,,,,,,,,,,,,,,,,,,,,,,,,False,False,,,,False,,,,,False,,,False,,False,,,False,,,,False,,,,,False,,,,,,,,,,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,False,,False,,,,False,,,,,False,,,False,,,,,,False,,,False,,,False,False,,False,,,False,,False,,False
NEW YORK,True,,,,,,,True,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,,,,,True,,,,,True,,,True,,,,True,,,,True,,,,,False,False,,,,False,,,,False,,False,,False,,,False,,,,,,,,True,,,,,,True,,,True,,,True,,,,True,,,,,True,,,True,,,,,,True,,,True,,,True,,,True,,,True,,,,True
CALIFORNIA,True,True,,,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,True,,True,,,,,True,,,,,True,,,True,,,,True,True,,,True,,,,,False,False,,,,False,,,,False,,False,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,False,,,,False
ALABAMA,True,,,,,,,True,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,,,,,True,,,,,True,,,True,,,,True,,,,False,,,,,False,,,False,,False,,,,False,,,,False,,,True,,,,,,True,,True,,,,,,True,,,,,,True,,,,True,,,,,True,,,True,,,,,,True,,,True,,,True,,,True,,,True,,,,True
IDAHO,False,,,,,,False,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,False,,,False,,,,False,,False,,,False,,,,,False,,,,False,,,,False,,,True,True,,,,,,,True,,,,,,True,,,,,,True,,,,True,True,,,,True,,,True,,,,,,True,,,True,,,True,,,True,,,True,,,,True
DELAWARE,False,,,,,False,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,False,,,False,,,,,False,False,,,,False,,,,False,,,,True,,,True,True,,,,,,,True,,,,,,,True,,,,,,,,,True,True,,,,True,,,True,,,,,,True,,,True,,,True,,,True,True,,True,,,,True
ALASKA,False,,,,,False,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,False,,,False,,,False,,,,False,,,,False,,,,,False,,,False,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,False,,False,,,,,,False,,,,False,,,,,False,,,False,,,,,,False,,,False,,False,False,,,False,,,False,,False,,False
ILLINOIS,True,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,,,,,True,,,,,True,,,True,,,,True,,,,True,,,,,True,,,,,True,,,,True,,,,True,,,True,,,,,,,,True,,,,,,True,,,,,,True,,,,True,True,,,,True,,,True,,,,,,True,,,False,,,True,,,True,,,True,,,,True
SOUTH DAKOTA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,False,,,,False,,,,,False,,,False,False,,,False,,,,False,,,,,False,,,False,,False,,,,False,,,,False,,,False,False,,,,,,,False,,,,,,False,,,,,,False,,,,False,,,False,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,False,
CONNECTICUT,False,False,,,,,,,,,,,,,False,,,,,,True,,,,,,,True,,,,,True,,,,,False,,False,,,False,,,False,,,False,,,,,,,,,,True,True,,,,True,,,,False,False,,,False,,,True,,,,,,,,True,,,,,,True,,,,,,True,,,,True,True,,,,True,,,True,,,,,,True,,,True,,,True,,,True,True,,True,,,,True
MONTANA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,False,,,,False,,,,,False,,,,,False,,,False,,,,False,,,False,False,,,,,False,,,,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,False,,,False,,,,,False,,,False,,,,,,False,,,False,,,False,,,False,False,,False,,,,False
MASSACHUSETTS,True,,,,,,,True,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,,,,,True,,,,,True,,,True,,,,True,,,,False,,,,,True,,,,,,,False,,,,,,,,,True,,,,,True,,,True,,,,,,True,,,,,,True,,,,False,False,,,,False,,,True,,,,,,True,,,False,,,False,,,False,False,,False,,,,False
NEW HAMPSHIRE,True,True,,,,,,,,,,,,,True,,,,,,True,True,,,,,,True,,,,,False,,,False,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,False,,,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
MARYLAND,False,,,False,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,False,,,,False,,,,False,False,,,False,,,True,,,,,,,,True,,,,,,True,,True,,,,True,,,,True,,True,,,True,,,True,,,,,,True,True,,True,,,True,True,,True,,,False,,,,False
NEW MEXICO,True,True,,,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,True,,True,,,,,True,,,,,True,,,True,True,,,True,,,,True,,True,,,True,,,,,True,,,,False,False,,,False,,,True,,,,,,True,,True,,,,,,True,,,,,,True,,,,True,,,,,True,,,True,,,True,,,True,,,False,,,False,,,True,,,True,,,,True
MISSISSIPPI,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,False,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,,,,,False,,,,False,,,,False,,False,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
TENNESSEE,False,False,,,,,,,,,,,,,False,,,,,,True,,,,True,,,True,,,,,True,,,,,True,,,,,True,,,True,,,,True,,,,True,,,,,True,True,,,,True,,,,False,False,,,False,,,False,,,,,,,,False,,,,,,False,,False,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,False,,False,,,,False
COLORADO,False,,,,,False,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,True,,,,True,True,,,True,,,,True,,,,True,,,,,False,,,,False,False,,,,False,,,,False,,,False,,,,,,,,True,,True,,,,True,,,,,,True,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
NEW JERSEY,False,,,,,,,,,,,,False,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,False,,False,,,,,False,,,,,False,,,,False,,,,False,,,True,,,,,,,,True,True,,,,,True,,,,,,True,,,,True,,True,,,True,,,True,,,,,,True,,,True,,,True,True,,True,,,True,,,,True
UTAH,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,False,,,,False,,,,,False,,,,,False,,,False,False,,,False,,,,False,,,,,False,,,,,False,False,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
MICHIGAN,False,False,,,,,,,,,,,,,False,,,,,,False,,,False,,,,False,,,,,False,,,,,False,,,,,False,False,,False,,,,False,,,,True,,,,,False,,,,,True,,,,True,,,,True,,,True,True,,,,,,,True,,,,,,True,,,,,True,,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,True,,,True,,,True,,,,True
WEST VIRGINIA,False,False,,,,,,,,,,,,,False,,,,,,False,False,,,,,,False,,,,,False,,,,False,False,,,,,False,,,False,,,,False,,,,False,,,,,False,,,,,False,,,False,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
WASHINGTON,False,,,False,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,False,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,True,,True,,,True,,,,True,,,,True,,,True,,,True,,,,,True,,,,,,True,,,,,,False,,,False,False,,,,,False,,,False,,,,,,False,,,False,,,False,,,True,True,,True,,,,True
MINNESOTA,True,True,,,,,,,,,,,,,True,,,,,,False,,,,,False,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,True,True,,,,True,,,,False,,False,,False,,,False,,,,,,,,True,True,,,,,True,,,,,,True,,,,True,True,,,,True,,,True,,,,,,True,,,False,,,False,,,False,,,False,,,,False
OREGON,False,,,,False,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,False,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,False,,,,False,,,,False,,,False,False,,,False,,,,,,,,False,,,,,,False,,,,,,True,True,,,True,,,,,True,,,True,,,True,,,True,,,True,,,True,,True,True,,,True,,,,True
WYOMING,False,,,False,,False,,,False,False,False,,,,False,,,False,,False,False,,,,,,,False,,,,False,False,,,,,False,,,,False,False,,,False,,,,False,,,,False,,,,,False,False,,,,False,,,,False,False,,,False,,,False,,,,,,,,False,False,False,,,,,,,,,,,False,False,,False,,,,,False,,False,False,,,False,False,,False,,False,False,False,,False,,,,False,,,,False,,
OHIO,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,False,,,,False,,,,,True,True,,,,True,,,True,,,,True,,,,True,,,,,False,,,False,,False,,,,False,,,,False,,,False,,False,,,,,,False,,,,,,False,,,,,,False,False,,,False,,,,,False,,,,,False,,,,,,,False,False,,False,,,False,,,False,,,,False
SOUTH CAROLINA,True,,,,,True,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,,,,,False,,False,,,False,,,False,,,,True,True,,,True,,,,,True,True,,,,True,,,,False,False,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
INDIANA,True,,,,,True,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,,,,,False,,,,,True,,,False,,,,True,,,,True,,,,,False,,False,,,False,,,,False,,,,True,,,False,,,False,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,True,,,,,,False,,,False,,,False,,,False,,,False,,,,False
NEVADA,False,,,,,,,,,,,,,,False,,,,False,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,,,,,False,,,,True,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,True,,,,,False,False,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
LOUISIANA,True,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,False,False,,,,False,,,,,False,,,,,False,,,False,False,,,False,,,,False,,False,,,False,,,,,False,,,,False,False,,,False,,,,,,,False,,,,,,,,,,,,,,,,,,,,False,,,,False,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
NEBRASKA,True,,,,,,,,,,,,,,True,,True,,,,True,,,,,,,True,,,,,True,,,,,True,True,,,,True,,,False,,,,True,True,,,True,,,,,False,,,,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
ARIZONA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,,,False,,False,,,,False,,,,False,,,False,,,,,,,,False,False,,,,,False,,,,,,True,,,,True,True,,,,True,,,True,,,True,,,True,,,True,,,False,,,True,,,True,,,,True
WISCONSIN,False,False,,,,,,,,,,,,,False,,,,,,True,True,,,,,,True,,,,,True,,,,,True,,,,True,True,,,True,,,,True,,,,True,,,,,True,True,,,,True,,,,False,,,,False,,,True,,,,,,,True,True,,,,,,True,,,,,,True,,,,True,,,,,True,,,True,,,,,,True,,,True,,,True,,,True,,,True,,,,True
NORTH DAKOTA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,False,False,,,False,,,,False,,,,False,,,,,False,,False,,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,False,,False,,,,False
PENNSYLVANIA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,False,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,False,,,,False,,,,False,,,,False,False,,False,,,,,,,,False,,,,,,False,,False,,,,False,,,,True,True,,,,True,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
OKLAHOMA,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,True,True,,,,True,,,,,True,,,True,,,,True,,,,True,,,,,False,False,,,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
KENTUCKY,True,True,,,,,,,,,,,,,True,,,,,,True,True,,,,,,True,,,,,True,,,,,True,,,,,True,,,True,,,,True,,,,False,,,,,False,False,,,,False,,,,False,,,,False,,,False,False,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,False,,False,,,False,,,,False
RHODE ISLAND,True,True,,,,,,,,,,,,,True,,,,,,True,,True,,,,,True,,,,,True,,,,,True,,,,,True,,,True,,,,True,True,,,True,,,,,True,True,,,,True,,,,False,False,,,False,,,True,,,,,,True,,True,,,,,,True,,,,,,True,,,,True,,,,,True,,,True,,,,,,True,,,True,,,True,,,True,True,,True,,,,True
DISTRICT OF COLUMBIA,False,,,,,,,False,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,False,,False,,,,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,True,,,False,,False,False,,,,False
ARKANSAS,False,,,,,,,,,,,,,,False,False,,,,,False,,,,,,,False,,,False,,False,,,,,False,,,,,False,,,False,,False,,False,,,,False,,,,,False,False,,,,False,,,,False,False,,,False,,,False,,,,,,,,False,,,,,,False,,False,,,,False,,,,False,False,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
MISSOURI,True,,,,True,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,,,,,False,False,,,,False,,,False,,,,False,,,,False,,,,,True,True,,,,True,,,,False,,,,False,,,False,,,,,,,,False,,,,,,False,,,,,,True,True,,,True,,,,,True,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
TEXAS,True,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,True,,,,,True,True,,,,True,,,,,True,,,True,,True,,True,,,,True,,,,,True,,,True,,True,,,,True,,,,True,,,True,,,,,,,,True,,,True,,,True,,,,,,True,,,,True,,,,,True,,,True,,,,,,True,,,True,,,True,,,True,True,,True,,,,True
MAINE,False,False,,,,,,,,,,,,,False,,,,,,False,,,,,,,False,,,,,False,,,,,False,,,,,False,,,False,,,,False,,,,False,,,,,False,False,,,,False,,,,False,,,,False,,,False,,,,,,,,False,,,,,False,False,,,,,,False,,,,False,,,,,False,,,False,,,,,,False,,,False,,,False,,,False,,,False,,,,False
